date,scheme_code,scheme_name,nav
2026-08-24,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,970.45
2026-08-24,100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,141.34
2026-08-24,100037,Aditya Birla Sun Life Medium to Long Term Fund - Regular - Quarterly IDCW,13.1013
2026-08-24,100038,Aditya Birla Sun Life Medium to Long Term Fund - Growth - Regular Plan,130.1169
2026-08-24,100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.1950
2026-08-24,100047,Aditya Birla Sun Life Liquid Fund - Growth,451.4096
2026-08-24,100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.2762
2026-08-24,100057,Aditya Birla Sun Life Gilt Fund -Regular - Quarterly IDCW,10.8374
2026-08-24,100058,Aditya Birla Sun Life Gilt Fund  - Growth - Regular Plan,82.1456
2026-08-24,100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,214.19
2026-08-24,100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,1331.89
2026-08-24,100077,DSP Medium Term Fund - IDCW,11.6964
2026-08-24,100078,DSP Medium Term Fund - Growth,86.7582
2026-08-24,100079,DSP Medium Term Fund - IDCW - Monthly,11.1821
2026-08-24,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,59.4020
2026-08-24,100081,DSP Aggressive Hybrid Fund- Regular Plan - Growth,349.8440
2026-08-24,100082,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,26.6290
2026-08-24,100084,DSP Gilt Fund - Regular Plan - Growth,99.0693
2026-08-24,100085,DSP Gilt Fund - Regular Plan - IDCW,12.8397
2026-08-24,100086,DSP Gilt Fund - Regular Plan - IDCW - Monthly,10.8373
2026-08-24,100087,DSP Money Market Fund - Regular Plan - Growth,56.5225
2026-08-24,100088,DSP Money Market Fund - Regular Plan - IDCW,12.5809
2026-08-24,100089,DSP Money Market Fund - Regular Plan - IDCW - Monthly,11.0552
2026-08-24,100119,HDFC Balanced Advantage Fund - Growth Plan,526.35
2026-08-24,100120,HDFC Balanced Advantage Fund - IDCW Plan,36.504
2026-08-24,100123,HDFC Medium to Long Term Fund - Quarterly IDCW Option,11.5327
2026-08-24,100124,HDFC Income Fund - Growth Option,60.6668
2026-08-24,100174,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,56.9473
2026-08-24,100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,410.1022
2026-08-24,100176,quant Small Cap Fund - IDCW Option - Regular Plan,230.9934
2026-08-24,100177,quant Small Cap Fund - Growth - Regular Plan,290.4652
2026-08-24,100218,JM Large Cap Fund (Regular) - IDCW,30.2395
2026-08-24,100219,JM Large Cap Fund (Regular) - Growth Option,155.7742
2026-08-24,100220,JM Aggressive Hybrid Fund (Regular) - IDCW,34.1288
2026-08-24,100221,JM Aggressive Hybrid Fund (Regular) -Growth Option,122.0234
2026-08-24,100222,JM Medium to Long Term Fund (Regular) - Quarterly IDCW,21.9738
2026-08-24,100223,JM Medium to Long Term Fund (Regular) - Growth Option,64.6279
2026-08-24,100233,JM Liquid Fund (Regular) - Weekly IDCW,11.0129
2026-08-24,100234,JM Liquid Fund - Growth Option,76.325
2026-08-24,100244,JM Liquid Fund (Regular) - Quarterly IDCW,43.2007
2026-08-24,100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,43.8861
2026-08-24,100254,JM Value Fund (Regular) - Growth Option,98.1824
2026-08-24,100264,Kotak Gilt Fund -Investment Regular-Payout of Income Distribution cum capital withdrawal option,19.0494
2026-08-24,100265,Kotak Gilt Fund -Investment Regular-Growth,97.4876
2026-08-24,100280,Kotak Gilt Fund -Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,11.845
2026-08-24,100281,Kotak Gilt Fund -Investment  Provident Fund and Trust-Growth,99.7368
2026-08-24,100286,Kotak Aggressive Hybrid Fund - Regular Plan - IDCW - Payout & Reinvestment of Income Distribution cum capital withdrawal option,38.758
2026-08-24,100299,Kotak Medium to Long Term Fund - Regular Plan Growth,80.2273
2026-08-24,100300,Kotak Medium to Long Term Fund - Regular Plan - Standard IDCW Option,49.1528
2026-08-24,100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,34.2398
2026-08-24,100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,108.5044
2026-08-24,100314,LIC MF Medium to Long Term Fund-Regular Plan-IDCW,16.6005
2026-08-24,100315,LIC MF Medium to Long Term Fund-Regular Plan-Growth,75.7335
2026-08-24,100316,LIC MF Gilt Fund-Regular Plan-IDCW,17.4398
2026-08-24,100317,LIC MF Gilt Fund-Regular Plan-Growth,60.5022
2026-08-24,100318,LIC MF Gilt Fund-PF Plan-IDCW,22.6123
2026-08-24,100319,LIC MF Gilt Fund-PF Plan-Growth,34.944
2026-08-24,100321,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW,15.271
2026-08-24,100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,203.4274
